Name_of_interviewer,Agency,Date,Hi__my_name_is_and_I_am_workin,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupa,Do_you_have_any_health_problem,For_the_following_questions__I,_1_Are_your_main_problems_bein,_1a_What_is_your_biggest_probl,_1a_If_other_what_is_your_bigge,_1b_What_is_your_second_biggest,_1b_If_other_what_is_your_secon,_1c_What_is_your_third_biggest_,_1c_If_other_what_is_your_third,_2_Satisfied_with_gov,_2a_Top_thing_gov,_2a_If_other_top_thing_gov,_2b_Second_thing_gov,_2b_If_other_second_thing_gov,_3_Do_you_have_information,_3a_Top_need_info,_3a_If_other_top_need_info,_3b_Second_need_info,_3b_If_other_second_need_info,_4_Satisfied_with_NGOs,_4a_Top_need_NGOs,_4a_If_other_top_need_NGOs,_4b_Second_need_NGOs,_4b_If_other_second_need_NGOs,_5_Is_support_fair,_5a_Top_reason_not_fair,_5a_If_other_top_reason_not_fai,_5b_Second_reason_not_fair,_5b_If_other_second_reason_not_,_6_Prepared_for_,_7_Have_been_heard,_8_Relief_effort_progress,_9_Main_problems_women,_9a_Top_problem_women,_9a_If_other_top_problem_women,_9b_Second_problem_women,_9b_If_other_second_problem_wom,This_is_the_end_of_the_survey_,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,4,55_greater,male,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,psychosocial_counseling,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,3___neutral,refused,4___mostly_yes,,,,,,,uuid:835726e7-08a8-4a66-bf8f-008d5aff1ae7,724408,835726e7-08a8-4a66-bf8f-008d5aff1ae7,2015-09-29T09:54:38,543,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,4,25_39,male,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,healthcare,,food,,4___mostly_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,refused,4___mostly_yes,4___mostly_yes,,,,,,,uuid:d6080e80-1de3-4c3f-b449-4a16e34b59bd,724422,d6080e80-1de3-4c3f-b449-4a16e34b59bd,2015-09-29T09:56:28,552,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,6,25_39,male,Newar,,farmer_laborer,,no_difficulty,,2___very_little,seeds_and_fertilizers,,financial_support,,livelihoods,,4___mostly_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,refused,4___mostly_yes,4___mostly_yes,,,,,,,uuid:be37bb68-ca1b-49a9-8914-b5468b0d9ad3,724433,be37bb68-ca1b-49a9-8914-b5468b0d9ad3,2015-09-29T09:58:35,559,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,6,40_54,male,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,psychosocial_counseling,,financial_support,,4___mostly_yes,,,,,5___completely_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,don_t_know,4___mostly_yes,5___completely_yes,,,,,,,uuid:80dc6414-7661-47ee-a928-32f8080a710c,724523,80dc6414-7661-47ee-a928-32f8080a710c,2015-09-29T10:02:37,575,,-1,,
laxman pd bhattarai,accountability,2015-09-22,,,,,,,Bhaktapur,bhaktapur,6,25_39,male,Newar,,farmer_laborer,,no_difficulty,,4___mostly_yes,,,,,,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_register_for_access_sup,,1___not_at_all,building_mater,,housing_inspec,,3___neutral,based_on_polit,,based_on_dista,,don_t_know,1___not_at_all,4___mostly_yes,,,,,,,uuid:1084da36-47fc-4f07-8229-9ceba203d655,724583,1084da36-47fc-4f07-8229-9ceba203d655,2015-09-29T10:06:44,591,,-1,,
laxman pd bhattarai,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,5,25_39,male,Newar,,skilled_worker,,yes__some_diff,,2___very_little,long_term_shelter__housing,,financial_support,,livelihoods,,2___very_little,housing_inspec,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,cash_for_work,,food_aid,,1___not_at_all,first_come__fi,,based_on_polit,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:3720b2a5-26c8-49ec-9c64-9f226c9a3b8c,724595,3720b2a5-26c8-49ec-9c64-9f226c9a3b8c,2015-09-29T10:09:24,601,,-1,,
laxman pd bhattarai,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,5,25_39,male,Newar,,skilled_worker,,no_difficulty,,4___mostly_yes,,,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,don_t_know,4___mostly_yes,4___mostly_yes,,,,,,,uuid:4d92e333-9d62-4191-a7e3-5fede5b75e65,724670,4d92e333-9d62-4191-a7e3-5fede5b75e65,2015-09-29T10:13:19,612,,-1,,
laxman pd bhattarai,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,5,25_39,male,Newar,,farmer_laborer,,yes__some_diff,,2___very_little,long_term_shelter__housing,,financial_support,,food,,4___mostly_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,5___completely_yes,4___mostly_yes,4___mostly_yes,,,,,,,uuid:26333527-f96b-468c-b97b-4ee6a21feb55,724681,26333527-f96b-468c-b97b-4ee6a21feb55,2015-09-29T10:15:05,619,,-1,,
laxman pd bhattarai,accountability,2015-09-23,,,,,,,Bhaktapur,bhaktapur,5,55_greater,male,Newar,,farmer_laborer,,yes__some_diff,,2___very_little,long_term_shelter__housing,,financial_support,,food,,2___very_little,housing_inspec,,building_mater,,2___very_little,how_to_register_for_access_sup,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:91bf5001-a637-4210-95c9-2f6dba666b29,724698,91bf5001-a637-4210-95c9-2f6dba666b29,2015-09-29T10:17:22,632,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,9,25_39,female,Newar,,farmer_laborer,,yes__some_diff,,1___not_at_all,long_term_shelter__housing,,financial_support,,healthcare,,don_t_know,,,,,3___neutral,how_to_get_shelter_materials,,how_to_get_healthcare_psycholo,,1___not_at_all,housing_inspec,,cash_for_work,,1___not_at_all,based_on_polit,,based_on_dista,,2___very_little,1___not_at_all,1___not_at_all,1___not_at_all,financial_support,,livelihoods,,,uuid:5aff2ed1-5c43-4cb0-9d48-a6c3d09bac6a,725375,5aff2ed1-5c43-4cb0-9d48-a6c3d09bac6a,2015-09-29T11:35:04,94,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,9,25_39,female,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,livelihoods,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_register_for_access_sup,,2___very_little,building_mater,,building_mater,,1___not_at_all,based_on_polit,,based_on_dista,,2___very_little,2___not_very_m,2___very_little,refused,,,,,,uuid:18732e35-57ec-459d-be84-8190df9ad66e,725330,18732e35-57ec-459d-be84-8190df9ad66e,2015-09-29T11:28:38,871,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,9,15_24,male,Newar,,other,student,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,livelihoods,,1___not_at_all,building_mater,,housing_inspec,,3___neutral,news_about_government_decision,,how_to_get_shelter_materials,,3___neutral,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,based_on_dista,,4___mostly_yes,2___not_very_m,3___neutral,,,,,,,uuid:53d8fe30-a94c-458d-b636-92cde38ef55b,725360,53d8fe30-a94c-458d-b636-92cde38ef55b,2015-09-29T11:31:29,880,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,9,25_39,male,Newar,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,healthcare,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,based_on_dista,,2___very_little,1___not_at_all,1___not_at_all,,,,,,,uuid:0222807a-b38b-4f1c-b5a3-0f10f86455f2,725467,0222807a-b38b-4f1c-b5a3-0f10f86455f2,2015-09-29T11:37:57,890,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,9,25_39,male,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,financial_support,,housing_inspections,,livelihoods,,2___very_little,cash_for_work,,building_mater,,1___not_at_all,how_to_get_shelter_materials,,how_to_get_healthcare_psycholo,,1___not_at_all,food_aid,,building_mater,,1___not_at_all,based_on_dista,,based_on_polit,,4___mostly_yes,2___not_very_m,2___very_little,,,,,,,uuid:7e2d3ad4-763e-472b-b1c4-61c9a6b90be7,725480,7e2d3ad4-763e-472b-b1c4-61c9a6b90be7,2015-09-29T11:40:35,898,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,8,40_54,male,Newar,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,housing_inspections,,livelihoods,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,housing_inspec,,cash_for_work,,1___not_at_all,based_on_polit,,based_on_dista,,2___very_little,1___not_at_all,1___not_at_all,,,,,,,uuid:22532365-65fa-40a8-b4cb-8ef284428d79,725495,22532365-65fa-40a8-b4cb-8ef284428d79,2015-09-29T11:43:07,905,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,8,25_39,male,Newar,,government_ser,,no_difficulty,,4___mostly_yes,,,,,,,5___completely_yes,,,,,don_t_know,,,,,4___mostly_yes,,,,,refused,,,,,1___not_at_all,2___not_very_m,2___very_little,,,,,,,uuid:76ee1192-51a7-49f5-ba39-d666c2e9f3ad,725502,76ee1192-51a7-49f5-ba39-d666c2e9f3ad,2015-09-29T11:44:49,908,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,8,25_39,male,Newar,,government_ser,,no_difficulty,,2___very_little,long_term_shelter__housing,,financial_support,,livelihoods,,2___very_little,cash_for_work,,building_mater,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,seeds_and_fert,,food_aid,,1___not_at_all,based_on_polit,,based_on_dista,,don_t_know,don_t_know,don_t_know,,,,,,,uuid:d6225f79-2fb9-4671-8d60-df7789e043ca,725536,d6225f79-2fb9-4671-8d60-df7789e043ca,2015-09-29T11:48:08,919,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,8,40_54,male,Newar,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,healthcare,,housing_inspections,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,seeds_and_fert,,food_aid,,don_t_know,,,,,4___mostly_yes,2___not_very_m,1___not_at_all,,,,,,,uuid:96cdd374-29ea-4f38-b232-c949a7b28f1d,725563,96cdd374-29ea-4f38-b232-c949a7b28f1d,2015-09-29T11:50:33,925,,-1,,
jagadish kunwar,accountability,2015-09-26,,,,,,,Bhaktapur,changunaran,8,55_greater,male,Newar,,farmer_laborer,,yes__some_diff,,2___very_little,long_term_shelter__housing,,healthcare,,financial_support,,2___very_little,building_mater,,cash_for_work,,2___very_little,how_to_get_shelter_materials,,news_about_government_decision,,2___very_little,other,Not mention,food_aid,,2___very_little,based_on_dista,,based_on_polit,,4___mostly_yes,2___not_very_m,2___very_little,,,,,,,uuid:7b47021a-c060-45db-95c2-ff08a06d0102,725596,7b47021a-c060-45db-95c2-ff08a06d0102,2015-09-29T11:53:58,937,,-1,,
Naban prajapati,accountability,2015-09-27,,,,,,,Bhaktapur,changunarayan,13,25_39,female,Brahmin,,ngo_worker_bus,,no_difficulty,,3___neutral,toilets_sanitation,,healthcare,,housing_inspections,,3___neutral,housing_inspec,,seeds_and_fert,,4___mostly_yes,,,,,4___mostly_yes,,,,,3___neutral,first_come__fi,,joint_families,,3___neutral,4___mostly_yes,3___neutral,3___neutral,healthcare,,toilets_sanitation,,,uuid:ffc9ee66-c79c-4e9a-a657-ec867e4567ac,723040,ffc9ee66-c79c-4e9a-a657-ec867e4567ac,2015-09-29T05:47:06,25,,-1,,
Namin prajapati,accountability,2015-09-27,,,,,,,Bhaktapur,Changunarayan,13,25_39,male,Newar,,government_ser,,no_difficulty,,3___neutral,healthcare,,clean_water,,toilets_sanitation,,4___mostly_yes,,,,,4___mostly_yes,,,,,3___neutral,housing_inspec,,food_aid,,3___neutral,only_if_damage,,joint_families,,4___mostly_yes,3___neutral,3___neutral,,,,,,,uuid:921cb046-b508-4c3a-8e1c-35942b13c9cd,723083,921cb046-b508-4c3a-8e1c-35942b13c9cd,2015-09-29T06:07:51,131,,-1,,
Namin prajapati,accountability,2015-09-27,,,,,,,Bhaktapur,Changunarayan,13,40_54,male,Chhetri,,ngo_worker_bus,,no_difficulty,,3___neutral,healthcare,,housing_inspections,,toilets_sanitation,,4___mostly_yes,,,,,3___neutral,news_about_government_decision,,finding_missing_people,,4___mostly_yes,,,,,3___neutral,only_if_damage,,joint_families,,4___mostly_yes,5___completely,3___neutral,,,,,,,uuid:6dff5c63-80c2-4d0a-a903-fd992f61ead3,723100,6dff5c63-80c2-4d0a-a903-fd992f61ead3,2015-09-29T06:12:37,137,,-1,,
Umesh thapa,accountability,2015-09-27,,,,,,,Bhaktapur,Changunarayan,13,15_24,male,Chhetri,,other,politician,no_difficulty,,4___mostly_yes,,,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,3___neutral,3___neutral,,,,,,,uuid:94edbb83-2c0b-47db-9336-4b26dad3b159,723071,94edbb83-2c0b-47db-9336-4b26dad3b159,2015-09-29T06:01:05,27,,-1,,
umesh thapa,accountability,2015-09-27,,,,,,,Bhaktapur,changunarayan,13,40_54,male,Newar,,other,not mention,no_difficulty,,4___mostly_yes,,,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,5___completely_yes,4___mostly_yes,4___mostly_yes,,,,,,,uuid:07be7662-c969-4229-adf3-6b3002176ac8,723057,07be7662-c969-4229-adf3-6b3002176ac8,2015-09-29T05:52:54,123,,-1,,
Namin prajapati,accountability,2015-09-21,,,,,,,Bhaktapur,chhaling,2,25_39,female,Newar,,farmer_laborer,,no_difficulty,,4___mostly_yes,,,,,,,4___mostly_yes,,,,,5___completely_yes,,,,,1___not_at_all,cash_for_work,,food_aid,,2___very_little,first_come__fi,,joint_families,,1___not_at_all,2___not_very_m,1___not_at_all,2___very_little,toilets_sanitation,,healthcare,,,uuid:39368dc5-5c84-48b6-9695-b478ca11cf33,724255,39368dc5-5c84-48b6-9695-b478ca11cf33,2015-09-29T09:30:03,449,,-1,,
umesh thapa,accountability,2015-09-25,,,,,,,Bhaktapur,chhaling,3,15_24,female,Newar,,other,student,no_difficulty,,4___mostly_yes,,,,,,,5___completely_yes,,,,,4___mostly_yes,,,,,4___mostly_yes,,,,,2___very_little,first_come__fi,,only_if_damage,,2___very_little,2___not_very_m,1___not_at_all,4___mostly_yes,,,,,,uuid:36f7fead-251c-4dea-84dc-80e93bc12566,723459,36f7fead-251c-4dea-84dc-80e93bc12566,2015-09-29T07:27:25,302,,-1,,
umesh thapa,accountability,2015-09-25,,,,,,,Bhaktapur,chhaling,4,40_54,female,Newar,,farmer_laborer,,yes__some_diff,,1___not_at_all,long_term_shelter__housing,,financial_support,,food,,2___very_little,cash_for_work,,food_aid,,1___not_at_all,how_to_get_shelter_materials,,how_to_register_for_access_sup,,4___mostly_yes,,,,,2___very_little,first_come__fi,,only_if_damage,,3___neutral,2___not_very_m,1___not_at_all,2___very_little,long_term_shelter__housing,,toilets_sanitation,,,uuid:6ebd7736-ac9b-4a60-88ee-aab7736f6dba,723488,6ebd7736-ac9b-4a60-88ee-aab7736f6dba,2015-09-29T07:36:24,327,,-1,,
Namin prajapati,accountability,2015-09-25,,,,,,,Bhaktapur,chhaling,4,40_54,male,Brahmin,,skilled_worker,,no_difficulty,,4___mostly_yes,,,,,,,2___very_little,building_mater,,cash_for_work,,2___very_little,how_to_register_for_access_sup,,how_to_get_shelter_materials,,2___very_little,building_mater,,food_aid,,3___neutral,first_come__fi,,only_if_damage,,3___neutral,2___not_very_m,1___not_at_all,,,,,,,uuid:68612bed-c43b-40eb-800c-49f02649e099,723558,68612bed-c43b-40eb-800c-49f02649e099,2015-09-29T07:44:18,46,,-1,,
