Name_of_interviewer,Agency,Date,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupa,Do_you_have_any_health_problem,_1_Are_your_main_problems_bein,_1a_What_is_your_biggest_probl,_1a_If_other_what_is_your_bigge,_1b_What_is_your_second_biggest,_1b_If_other_what_is_your_secon,_1c_What_is_your_third_biggest_,_1c_If_other_what_is_your_third,_2_Satisfied_with_gov,_2a_Top_thing_gov,_2a_If_other_top_thing_gov,_2b_Second_thing_gov,_2b_If_other_second_thing_gov,_3_Do_you_have_information,_3a_Top_need_info,_3a_If_other_top_need_info,_3b_Second_need_info,_3b_If_other_second_need_info,_4_Satisfied_with_NGOs,_4a_Top_need_NGOs,_4a_If_other_top_need_NGOs,_4b_Second_need_NGOs,_4b_If_other_second_need_NGOs,_5_Is_support_fair,_5a_Top_reason_not_fair,_5a_If_other_top_reason_not_fai,_5b_Second_reason_not_fair,_5b_If_other_second_reason_not_,_6_Prepared_for_monsoon,_7_Have_been_heard,_8_Relief_effort_progress,_9_Main_problems_women,_9a_Top_problem_women,_9a_If_other_top_problem_women,_9b_Second_problem_women,_9b_If_other_second_problem_wom,start,end,meta/instanceID,_uuid,_submission_time,_tags,,,,,,,,,,,,,,,,_notes
Alisha Thapaliya,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,6,55_greater,male,Newar,n/a,farmer_laborer,n/a,yes__some_diff,don_t_know,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,1___not_at_all,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:44:36.000+06:45,2015-08-30T12:46:24.000+06:45,uuid:2ee8482b-bdfb-424e-b9cc-6497a8e57f19,2ee8482b-bdfb-424e-b9cc-6497a8e57f19,2015-08-30T06:59:55,,,,,,,,,,,,,,,,,
Sunayana Bhetwal,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,6,40_54,male,Newar,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,how_to_register_for_access_sup,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,4___mostly_yes,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:46:24.000+06:45,2015-08-30T12:48:02.000+06:45,uuid:2086907a-328a-4c85-930b-20dbaf1c9658,2086907a-328a-4c85-930b-20dbaf1c9658,2015-08-30T07:01:31,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,6,55_greater,male,Newar,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,livelihoods,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,refused,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:48:02.000+06:45,2015-08-30T12:49:43.000+06:45,uuid:c0ada7dc-b08f-4c0d-9ea0-e49a3772ede6,c0ada7dc-b08f-4c0d-9ea0-e49a3772ede6,2015-08-30T07:03:14,,,,,,,,,,,,,,,,,
Sunayana Bhetwal,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,6,40_54,female,Newar,n/a,other,Housewife,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,how_to_register_for_access_sup,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,4___mostly_yes,2___very_little,4___mostly_yes,n/a,n/a,n/a,n/a,2015-08-30T12:49:44.000+06:45,2015-08-30T12:51:55.000+06:45,uuid:6ad9f958-107e-458f-bb75-c3ffaaadcf92,6ad9f958-107e-458f-bb75-c3ffaaadcf92,2015-08-30T07:05:25,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,26/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,6,40_54,female,Newar,n/a,other,Housewife,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,how_to_register_for_access_sup,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,don_t_know,2___very_little,4___mostly_yes,n/a,n/a,n/a,n/a,2015-08-30T12:51:55.000+06:45,2015-08-30T12:54:14.000+06:45,uuid:3d406ab8-0508-491c-b179-cb4642dae988,3d406ab8-0508-491c-b179-cb4642dae988,2015-08-30T07:07:44,,,,,,,,,,,,,,,,,
Alisha Thapaliya,accountability,28/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,9,40_54,male,Newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,housing_inspections,n/a,2___very_little,housing_inspec,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,housing_inspec,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-08-30T12:57:57.000+06:45,2015-08-30T13:01:27.000+06:45,uuid:1c54951e-cd90-4242-9807-b72f0c2d4b6e,1c54951e-cd90-4242-9807-b72f0c2d4b6e,2015-08-30T07:14:58,,,,,,,,,,,,,,,,,
Sunayana Bhetwal,accountability,28/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,9,55_greater,female,Newar,n/a,other,Housewife,yes__a_lot_of_,1___not_at_all,short_term_she,n/a,healthcare,n/a,food,n/a,1___not_at_all,building_mater,n/a,food_aid,n/a,2___very_little,how_to_get_shelter_materials,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,cash_for_work,n/a,food_aid,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,short_term_shelter__tent_shelt,n/a,healthcare,n/a,2015-08-30T13:01:27.000+06:45,2015-08-30T13:04:41.000+06:45,uuid:360b683c-90ef-4bc6-9743-be3627c12a6f,360b683c-90ef-4bc6-9743-be3627c12a6f,2015-08-30T07:18:11,,,,,,,,,,,,,,,,,
sunaina bhetwal,accountability,29/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,bhaktapur NP,2,40_54,male,Newar,n/a,skilled_worker,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,livelihoods,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,refused,n/a,n/a,n/a,n/a,2015-08-30T13:13:16.000+06:45,2015-08-30T13:16:05.000+06:45,uuid:6d166df0-1d59-46bf-8868-01c3aeb06f5b,6d166df0-1d59-46bf-8868-01c3aeb06f5b,2015-08-30T07:26:20,,,,,,,,,,,,,,,,,
alisha thapaliya,accountability,29/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,bhaktapur NP,2,55_greater,female,Tamang,n/a,other,housewife,no_difficulty,2___very_little,long_term_shelter__housing,n/a,housing_inspections,n/a,financial_support,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,2___not_very_m,1___not_at_all,4___mostly_yes,n/a,n/a,n/a,n/a,2015-08-30T13:16:05.000+06:45,2015-08-30T13:18:10.000+06:45,uuid:84d5647e-b90b-4eb2-a254-df3459bfa95a,84d5647e-b90b-4eb2-a254-df3459bfa95a,2015-08-30T07:28:26,,,,,,,,,,,,,,,,,
sunaina bhetwal,accountability,29/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,bhaktapur NP,2,40_54,male,Newar,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,housing_inspections,n/a,livelihoods,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,3___neutral,2___very_little,refused,n/a,n/a,n/a,n/a,2015-08-30T13:18:10.000+06:45,2015-08-30T13:19:50.000+06:45,uuid:0dd3b93c-54bd-41ab-b398-44991eeea127,0dd3b93c-54bd-41ab-b398-44991eeea127,2015-08-30T07:30:05,,,,,,,,,,,,,,,,,
alisha thapaliya,accountability,29/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,bhaktapur NP,2,25_39,female,Brahmin,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,long_term_shelter__housing,n/a,financial_support,n/a,livelihoods,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,because_people,n/a,joint_families,n/a,1___not_at_all,2___not_very_m,1___not_at_all,4___mostly_yes,n/a,n/a,n/a,n/a,2015-08-30T13:19:50.000+06:45,2015-08-30T13:21:35.000+06:45,uuid:86ac6636-5056-4568-b645-de98fcedead5,86ac6636-5056-4568-b645-de98fcedead5,2015-08-30T07:31:51,,,,,,,,,,,,,,,,,
sunaina bhetwal,accountability,29/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,bhaktapur NP,9,40_54,male,Newar,n/a,skilled_worker,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,housing_inspections,n/a,financial_support,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,because_people,n/a,first_come__fi,n/a,2___very_little,1___not_at_all,1___not_at_all,refused,n/a,n/a,n/a,n/a,2015-08-30T13:21:35.000+06:45,2015-08-30T13:24:58.000+06:45,uuid:4778879b-6650-4bf7-8499-b59dfc4fa4ed,4778879b-6650-4bf7-8499-b59dfc4fa4ed,2015-08-30T07:35:14,,,,,,,,,,,,,,,,,
alisha thapaliya,accountability,29/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,bhaktapur NP,9,55_greater,male,Tamang,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,livelihoods,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,2___not_very_m,1___not_at_all,refused,n/a,n/a,n/a,n/a,2015-08-30T13:24:58.000+06:45,2015-08-30T13:26:35.000+06:45,uuid:dbcb752f-431d-4bfa-87d8-2b76a4d66261,dbcb752f-431d-4bfa-87d8-2b76a4d66261,2015-08-30T07:36:50,,,,,,,,,,,,,,,,,
alisha thapaliya,accountability,29/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,bhaktapur NP,9,15_24,female,Newar,n/a,other,student,no_difficulty,2___very_little,long_term_shelter__housing,n/a,seeds_and_fertilizers,n/a,housing_inspections,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,based_on_dista,n/a,first_come__fi,n/a,2___very_little,2___not_very_m,1___not_at_all,2___very_little,long_term_shelter__housing,n/a,housing_inspections,n/a,2015-08-30T13:26:35.000+06:45,2015-08-30T13:28:30.000+06:45,uuid:ec0ab734-bcfc-4598-9fdc-c92db3d4b414,ec0ab734-bcfc-4598-9fdc-c92db3d4b414,2015-08-30T07:38:46,,,,,,,,,,,,,,,,,
abc,accountability,30/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Bhaktapur NP,2,40_54,male,Newar,n/a,ngo_worker_bus,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,3___neutral,housing_inspec,n/a,food_aid,n/a,don_t_know,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,only_if_damage,n/a,joint_families,n/a,2___very_little,4___mostly_yes,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-30T16:41:22.000+06:45,2015-08-30T16:44:59.000+06:45,uuid:c4d4bdcc-280c-4300-9693-bdac7883599e,c4d4bdcc-280c-4300-9693-bdac7883599e,2015-08-30T10:55:53,,,,,,,,,,,,,,,,,
Umesh Thapa,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Changunarayan,9,refused,male,Newar,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,seeds_and_fertilizers,n/a,financial_support,n/a,2___very_little,cash_for_work,n/a,seeds_and_fert,n/a,1___not_at_all,how_to_register_for_access_sup,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,seeds_and_fert,n/a,1___not_at_all,first_come__fi,n/a,based_on_dista,n/a,2___very_little,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-08-31T17:00:57.000+06:45,2015-08-31T17:08:59.000+06:45,uuid:39763117-3d87-42ad-b910-7f125b30d7b6,39763117-3d87-42ad-b910-7f125b30d7b6,2015-08-31T11:24:09,,,,,,,,,,,,,,,,,
Navin Prajapati,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Changunarayan,9,25_39,female,Newar,n/a,ngo_worker_bus,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,food,n/a,2___very_little,cash_for_work,n/a,food_aid,n/a,2___very_little,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,cash_for_work,n/a,food_aid,n/a,2___very_little,first_come__fi,n/a,only_if_damage,n/a,3___neutral,2___not_very_m,2___very_little,2___very_little,maternal_neona,n/a,healthcare,n/a,2015-08-31T17:08:59.000+06:45,2015-08-31T17:16:03.000+06:45,uuid:28b3077d-7f30-4e08-b3ce-37d29b697135,28b3077d-7f30-4e08-b3ce-37d29b697135,2015-08-31T11:31:07,,,,,,,,,,,,,,,,,
Umesh Thapa,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Changunarayan,9,25_39,female,other,Not mentioned,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,housing_inspec,n/a,building_mater,n/a,2___very_little,how_to_replace_personal_docume,n/a,news_about_government_decision,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,first_come__fi,n/a,based_on_dista,n/a,4___mostly_yes,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-31T16:43:40.000+06:45,2015-08-31T17:00:56.000+06:45,uuid:655a95aa-ef3b-4122-8b4d-fba368679a14,655a95aa-ef3b-4122-8b4d-fba368679a14,2015-08-31T11:33:46,,,,,,,,,,,,,,,,,
Navin Prajapati,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Changunarayan,9,25_39,female,Newar,n/a,other,Student,no_difficulty,2___very_little,long_term_shelter__housing,n/a,healthcare,n/a,clean_water,n/a,2___very_little,housing_inspec,n/a,food_aid,n/a,3___neutral,finding_missing_people,n/a,how_to_register_for_access_sup,n/a,2___very_little,housing_inspec,n/a,food_aid,n/a,2___very_little,first_come__fi,n/a,joint_families,n/a,4___mostly_yes,2___not_very_m,1___not_at_all,2___very_little,toilets_sanitation,n/a,healthcare,n/a,2015-08-31T17:16:03.000+06:45,2015-08-31T17:22:49.000+06:45,uuid:dd68f157-7308-4e2c-a044-82b7d1814701,dd68f157-7308-4e2c-a044-82b7d1814701,2015-08-31T11:37:54,,,,,,,,,,,,,,,,,
Navin Prajapati,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Bhaktapur,Changunarayan,9,25_39,female,Newar,n/a,ngo_worker_bus,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,healthcare,n/a,financial_support,n/a,1___not_at_all,cash_for_work,n/a,food_aid,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,food_aid,n/a,1___not_at_all,first_come__fi,n/a,only_if_damage,n/a,3___neutral,2___not_very_m,1___not_at_all,2___very_little,toilets_sanitation,n/a,healthcare,n/a,2015-08-31T17:22:49.000+06:45,2015-08-31T17:27:42.000+06:45,uuid:b02aa0dc-6a79-40ec-ad7a-64a3fc643040,b02aa0dc-6a79-40ec-ad7a-64a3fc643040,2015-08-31T11:42:53,,,,,,,,,,,,,,,,,
