Name_of_enumerator_agency,Agency,Date,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If__other__what_is_your_occupa,Do_you_have_any_health_problem,Are_your_main_problems_being_a,What_is_your_biggest_problem,If__other__what_is_your_bigges,What_is_your_second_biggest_pr,If__other__what_is_your_second,What_is_your_third_biggest_pro,If__other__what_is_your_third_,Are_your_main_problems_being_a_001,What_is_the_top_thing_that_you,If__other__what_is_the_top_thi,What_is_the_second_most_import,If__other__what_is_the_second_,Are_your_main_problems_being_a_002,What_is_the_top_thing_that_you_001,If__other__what_is_the_top_thi_001,What_is_the_second_most_import_001,If__other__what_is_the_second__001,Are_your_main_problems_being_a_003,What_is_the_top_thing_that_you_002,If__other__what_is_the_top_thi_002,What_is_the_top_thing_that_you_003,If__other__what_is_the_second__002,Are_your_main_problems_being_a_004,What_is_the_top_reason_for_you,If__other__what_is_the_top_rea,What_is_the_top_reason_for_you_001,If_other_what_is_the_top_rea,Are_your_main_problems_being_a_005,Do_you_feel_you_have_been_hear,Are_your_main_problems_being_a_006,Are_your_main_problems_being_a_007,What_is_your_biggest_problem_001,If__other__what_is_the_biggest,What_is_your_biggest_problem_0,If__other__what_is_the_second__003,start,end,meta/instanceID,_uuid,_submission_time,_tags,_notes
Alisha Thapaliya,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,"Madhyapur Thimi, Bodey",3,25_39,female,newar,n/a,other,housewife,no_difficulty,1___not_at_all,food,n/a,financial_support,n/a,short_term_shelter__tent_shelt,n/a,2___very_little,housing_inspec,n/a,food_aid,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,first_come__fi,n/a,only_if_damage,n/a,4___mostly_yes,1___not_at_all,don_t_know,1___not_at_all,child_protection,n/a,short_term_shelter__tent_shelt,n/a,2015-07-20T12:32:01.000+06:45,2015-07-20T12:36:20.000+06:45,uuid:0dff16d0-90f1-4c2b-9894-44a812779e69,0dff16d0-90f1-4c2b-9894-44a812779e69,2015-07-20T06:51:58,,
Alisha Thapaliya,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Bhalachhe,5,25_39,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,yes__some_diff,1___not_at_all,clean_water,n/a,housing_inspections,n/a,toilets_sanitation,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T12:36:21.000+06:45,2015-07-20T12:53:54.000+06:45,uuid:597ccc28-7fd4-4cd9-a90e-744d732e0812,597ccc28-7fd4-4cd9-a90e-744d732e0812,2015-07-20T07:09:25,,
Alisha Thapaliya,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Dattatreya,3,25_39,female,dalit,n/a,other,housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,livelihoods,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,first_come__fi,n/a,based_on_caste,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,short_term_shelter__tent_shelt,n/a,financial_support,n/a,2015-07-20T12:53:55.000+06:45,2015-07-20T12:57:44.000+06:45,uuid:95fd27dc-bbff-4a5a-9306-b6b2580108bb,95fd27dc-bbff-4a5a-9306-b6b2580108bb,2015-07-20T07:13:14,,
Sunanya Bhetwal,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Dattatreya,3,25_39,female,chhetri,n/a,other,homemaker,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,psychosocial_counseling,n/a,livelihoods,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,n/a,option_16,n/a,2015-07-20T12:57:44.000+06:45,2015-07-20T13:00:59.000+06:45,uuid:2c9c346e-f377-4faf-95d0-88c3397b86ed,2c9c346e-f377-4faf-95d0-88c3397b86ed,2015-07-20T07:16:29,,
Alisha Thapaliya,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Dattatreya,3,15_24,female,tamang,n/a,skilled_worker__i_e__carpenter,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,livelihoods,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,because_people,n/a,based_on_caste,n/a,1___not_at_all,1___not_at_all,1___not_at_all,4___mostly_yes,n/a,n/a,n/a,n/a,2015-07-20T13:01:00.000+06:45,2015-07-20T13:05:53.000+06:45,uuid:3685dbd7-f8f0-42a1-9bfd-290f97fec973,3685dbd7-f8f0-42a1-9bfd-290f97fec973,2015-07-20T07:21:21,,
Suanya Bhetwal,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Dattatreya,3,25_39,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,4___mostly_yes,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:05:53.000+06:45,2015-07-20T13:09:14.000+06:45,uuid:8ca2ebca-a609-446e-a813-aa9722bb23c9,8ca2ebca-a609-446e-a813-aa9722bb23c9,2015-07-20T07:24:41,,
Alisha Thapaliya,accountability,7/19/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Chhaling,4,40_54,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,healthcare,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:09:14.000+06:45,2015-07-20T13:11:53.000+06:45,uuid:1408b751-341f-4c47-980d-6d228faba413,1408b751-341f-4c47-980d-6d228faba413,2015-07-20T07:27:20,,
Sunanya Bhetwal,accountability,7/19/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Chhaling,4,25_39,female,brahmin,n/a,other,housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,livelihoods,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,based_on_caste,n/a,first_come__fi,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,short_term_shelter__tent_shelt,n/a,option_15,n/a,2015-07-20T13:11:54.000+06:45,2015-07-20T13:17:00.000+06:45,uuid:e0f55101-40bd-4eb6-9be9-bf8acd76f64d,e0f55101-40bd-4eb6-9be9-bf8acd76f64d,2015-07-20T07:32:25,,
Alisha Thapaliya,accountability,7/19/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Chhaling,4,40_54,female,brahmin,n/a,other,housewife,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,housing_inspections,n/a,clean_water,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,2015-07-20T13:17:00.000+06:45,2015-07-20T13:22:21.000+06:45,uuid:9fe742b7-7f1c-49a6-a5c3-d4b1c3f92ccc,9fe742b7-7f1c-49a6-a5c3-d4b1c3f92ccc,2015-07-20T07:37:45,,
Sunanya Bhetwal,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Chhaling,4,40_54,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,psychosocial_counseling,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,first_come__fi,n/a,based_on_polit,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:22:22.000+06:45,2015-07-20T13:26:13.000+06:45,uuid:16d5a306-be6b-4453-b252-e47e58c9d5e8,16d5a306-be6b-4453-b252-e47e58c9d5e8,2015-07-20T07:41:37,,
Sunanya Bhetwal,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,"Madhyapur Thimi, Bodey",2,25_39,female,newar,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,short_term_shelter__tent_shelt,n/a,housing_inspections,n/a,1___not_at_all,building_mater,n/a,housing_inspec,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,toilets_sanitation,n/a,livelihoods,n/a,2015-07-20T13:26:13.000+06:45,2015-07-20T13:30:29.000+06:45,uuid:2b065430-e522-4acf-8641-1ffe2983a48c,2b065430-e522-4acf-8641-1ffe2983a48c,2015-07-20T07:45:52,,
Alisha Thapaliya,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Bodey,2,40_54,female,newar,n/a,skilled_worker__i_e__carpenter,n/a,yes__some_diff,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,1___not_at_all,5___completely_yes,n/a,n/a,n/a,n/a,2015-07-20T14:25:05.000+06:45,2015-07-20T14:28:41.000+06:45,uuid:f4883b2b-0c38-491d-8f77-764123ff70b9,f4883b2b-0c38-491d-8f77-764123ff70b9,2015-07-20T08:44:30,,
Sunanya Bhetwal,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Bodey,2,25_39,male,newar,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,don_t_know,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,don_t_know,don_t_know,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:28:41.000+06:45,2015-07-20T14:32:38.000+06:45,uuid:ef3185dc-fd66-4ed2-ab1a-0ada13574052,ef3185dc-fd66-4ed2-ab1a-0ada13574052,2015-07-20T08:48:24,,
Alisha Thapaliya,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Bodey,2,25_39,female,newar,n/a,other,homemaker,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,healthcare,n/a,housing_inspections,n/a,2___very_little,cash_for_work,n/a,housing_inspec,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,don_t_know,n/a,n/a,n/a,n/a,1___not_at_all,only_if_damage,n/a,based_on_polit,n/a,don_t_know,2___not_very_m,1___not_at_all,1___not_at_all,child_protection,n/a,option_18,n/a,2015-07-20T14:32:38.000+06:45,2015-07-20T14:36:14.000+06:45,uuid:6131f434-4b55-4b79-af6c-34f80de4860c,6131f434-4b55-4b79-af6c-34f80de4860c,2015-07-20T08:55:53,,
Alisha Thapaliya,accountability,7/19/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Madhyapur Thimi,9,25_39,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,1___not_at_all,housing_inspections,n/a,financial_support,n/a,long_term_shelter__housing,n/a,1___not_at_all,building_mater,n/a,housing_inspec,n/a,1___not_at_all,how_to_get_healthcare_psycholo,n/a,news_about_government_decision,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,based_on_dista,n/a,based_on_polit,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:36:15.000+06:45,2015-07-20T14:40:24.000+06:45,uuid:95aaab42-7e5f-440c-b51d-65f71937af3e,95aaab42-7e5f-440c-b51d-65f71937af3e,2015-07-20T08:56:11,,
Syanaina bhetwal,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,"Madhyapur thimi, bode",1,55,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,seeds_and_fertilizers,n/a,housing_inspections,n/a,1___not_at_all,seeds_and_fert,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_healthcare_psycholo,n/a,1___not_at_all,housing_inspec,n/a,building_mater,n/a,1___not_at_all,first_come__fi,n/a,because_people,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:35:10.000+06:45,2015-07-20T14:42:09.000+06:45,uuid:c3d17aaa-e0ac-4513-891f-812935df32ed,c3d17aaa-e0ac-4513-891f-812935df32ed,2015-07-20T08:57:17,,
Alisha T hapaliya,accountability,7/20/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Madhyapur Thimi,9,25_39,female,newar,n/a,other,homemaker,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,clean_water,n/a,psychosocial_counseling,n/a,1___not_at_all,building_mater,n/a,housing_inspec,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,1___not_at_all,2___not_very_m,1___not_at_all,1___not_at_all,maternal_neonatal_medical_care,n/a,healthcare,n/a,2015-07-20T14:40:24.000+06:45,2015-07-20T14:43:57.000+06:45,uuid:b1c89748-5a60-4dfe-b1a4-23e3e5cee358,b1c89748-5a60-4dfe-b1a4-23e3e5cee358,2015-07-20T08:59:45,,
Sunanya Bhetwal,accountability,7/20/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Madhyapur Thimi,9,40_54,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,yes__some_diff,1___not_at_all,short_term_shelter__tent_shelt,n/a,clean_water,n/a,financial_support,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,cash_for_work,n/a,housing_inspec,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,2___very_little,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:43:57.000+06:45,2015-07-20T14:47:45.000+06:45,uuid:347b9e9b-50fe-4258-bffb-ea3e9888ff52,347b9e9b-50fe-4258-bffb-ea3e9888ff52,2015-07-20T09:03:33,,
Sunaina bhetwal,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Bode,1,25_39,male,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,don_t_know,n/a,n/a,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,refused,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:46:48.000+06:45,2015-07-20T14:50:59.000+06:45,uuid:22d78e04-6bcf-497e-8bd8-ed2b51c72db6,22d78e04-6bcf-497e-8bd8-ed2b51c72db6,2015-07-20T09:06:05,,
Alisha Thapaliya,accountability,7/20/15,n/a,n/a,n/a,n/a,n/a,bhaktapur,Madhyapur Thimi,9,40_54,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,clean_water,n/a,seeds_and_fertilizers,n/a,1___not_at_all,cash_for_work,n/a,seeds_and_fert,n/a,2___very_little,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,building_mater,n/a,seeds_and_fert,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,4___mostly_yes,2___not_very_m,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:47:45.000+06:45,2015-07-20T14:51:39.000+06:45,uuid:a9ac25a2-2d5d-45b3-8243-435f1d162fd0,a9ac25a2-2d5d-45b3-8243-435f1d162fd0,2015-07-20T09:07:26,,
